object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7	TRAJECTORY_RAW_U21_V1	AVAILABLE	34808	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::7	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	35312	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8	SUMMARY_RAW_V1	AVAILABLE	35816	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8	SUMMARY_CANONICAL_V1	AVAILABLE	35856	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8	TRAJECTORY_RAW_U21_V1	AVAILABLE	35896	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::8	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	36400	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9	SUMMARY_RAW_V1	AVAILABLE	36904	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9	SUMMARY_CANONICAL_V1	AVAILABLE	36944	40	10
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9	TRAJECTORY_RAW_U21_V1	AVAILABLE	36984	504	126
RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::EXPANSION::9	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	37488	504	126
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	SUMMARY_RAW_V1	AVAILABLE	37992	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	SUMMARY_CANONICAL_V1	AVAILABLE	38032	40	10
RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::COMPRESSION::1	TRAJECTORY_RAW_U21_V1	AVAILABLE	38072	420	105
