target	feature	coefficient	absolute_coefficient	full_fit_penalty
initial_acceptance_given_initial_contact	direction	-0.03087452671885367	0.03087452671885367	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT|TPO_PROFILE	0.028985600441172567	0.028985600441172567	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|TPO_PROFILE	0.028346254693324847	0.028346254693324847	0.01
initial_acceptance_given_initial_contact	corridor_up_atr__MISSING	0.025713575451584602	0.025713575451584602	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|PIVOT|TPO_PROFILE	-0.0249996021102306	0.0249996021102306	0.01
initial_acceptance_given_initial_contact	canonical_instrument==USTEC	-0.024952816799723183	0.024952816799723183	0.01
initial_acceptance_given_initial_contact	feature_active_node_count	0.023399102850733326	0.023399102850733326	0.01
initial_acceptance_given_initial_contact	feature_population_count	0.023399102850733326	0.023399102850733326	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|PIVOT|TPO_PROFILE	0.023341606974050966	0.023341606974050966	0.01
initial_acceptance_given_initial_contact	feature_regional_sigma_log_change_per_bar	0.0232755906114942	0.0232755906114942	0.01
initial_acceptance_given_initial_contact	node_region==FAR_BELOW	0.02274274844920242	0.02274274844920242	0.01
initial_acceptance_given_initial_contact	feature_c3_distance_atr	-0.022553015028437446	0.022553015028437446	0.01
initial_acceptance_given_initial_contact	feature_c3_distance_atr__MISSING	0.022194955278299854	0.022194955278299854	0.01
initial_acceptance_given_initial_contact	feature_c3_velocity_atr__MISSING	0.022194955278299854	0.022194955278299854	0.01
initial_acceptance_given_initial_contact	node_from_median_sigma	-0.02036623722687727	0.02036623722687727	0.01
initial_acceptance_given_initial_contact	feature_c3_velocity_atr	0.020255020012574947	0.020255020012574947	0.01
initial_acceptance_given_initial_contact	canonical_instrument==FRA40	-0.020013942587887475	0.020013942587887475	0.01
initial_acceptance_given_initial_contact	contributor_producers==DAY_SWINGS|VOLKITT|WAYNE	0.01843764508061906	0.01843764508061906	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|PIVOT|SENTINEL	0.018359211354257825	0.018359211354257825	0.01
initial_acceptance_given_initial_contact	ordinal	-0.018021125528018638	0.018021125528018638	0.01
initial_acceptance_given_initial_contact	start_region==BELOW	0.016725894408092173	0.016725894408092173	0.01
initial_acceptance_given_initial_contact	feature_vah_distance_atr	0.01671581146201976	0.01671581146201976	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|MID_PIVOT|PIVOT|PIVOT_ZONE	-0.01642494796779494	0.01642494796779494	0.01
initial_acceptance_given_initial_contact	node_region==MEDIAN_CORE	0.01613043951995197	0.01613043951995197	0.01
initial_acceptance_given_initial_contact	contributor_families==GLOBAL_VALUE|PIVOT	-0.015992098850842726	0.015992098850842726	0.01
initial_acceptance_given_initial_contact	contributor_families==DAILY_EXTREME|MID_PIVOT|PIVOT	-0.015452747690786557	0.015452747690786557	0.01
initial_acceptance_given_initial_contact	feature_price_from_cog_atr	-0.015011594913218516	0.015011594913218516	0.01
initial_acceptance_given_initial_contact	feature_cog_distance_atr	0.015011594913218514	0.015011594913218514	0.01
initial_acceptance_given_initial_contact	start_region==FAR_BELOW	0.014476675175713462	0.014476675175713462	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	-0.013863242389868795	0.013863242389868795	0.01
initial_acceptance_given_initial_contact	contributor_families==GLOBAL_VALUE|MID_PIVOT|PIVOT|PIVOT_ZONE	-0.013193317750599573	0.013193317750599573	0.01
initial_acceptance_given_initial_contact	corridor_up_noise_count	0.013103324099394967	0.013103324099394967	0.01
initial_acceptance_given_initial_contact	feature_cog_velocity_atr	0.013028421710072582	0.013028421710072582	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|DAILY_EXTREME|SENTINEL	-0.012474980310490469	0.012474980310490469	0.01
initial_acceptance_given_initial_contact	contributor_families==ADAPTIVE_VALUE|MID_PIVOT|PIVOT	0.012201898463364355	0.012201898463364355	0.01
