session_id	civil_date	calendar_status	clock_status	server_offset_minutes	source_day_m1_rows	source_day_m5_rows	expected_m1_range	observed_m1_range	missing_m1_range	duplicate_m1_range	expected_m5_horizon	observed_m5_horizon	missing_m5_horizon	duplicate_m5_horizon	decision	partition
OBSOPEN_US30_20250709	2025-07-09	NORMAL_SESSION	QUALIFIED	180	1376	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250710	2025-07-10	NORMAL_SESSION	QUALIFIED	180	1379	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250711	2025-07-11	NORMAL_SESSION	QUALIFIED	180	1320	264	30	30	0	0	79	78	1	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20250712	2025-07-12	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250713	2025-07-13	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250714	2025-07-14	NORMAL_SESSION	QUALIFIED	180	1380	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250715	2025-07-15	NORMAL_SESSION	QUALIFIED	180	1378	276	30	30	0	0	79	79	0	0	ADMITTED	CONFIRMATION
OBSOPEN_US30_20250716	2025-07-16	NORMAL_SESSION	QUALIFIED	180	585	117	30	0	30	0	79	0	79	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250717	2025-07-17	NORMAL_SESSION	QUALIFIED	180	0	0	30	0	30	0	79	0	79	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250718	2025-07-18	NORMAL_SESSION	QUALIFIED	180	0	0	30	0	30	0	79	0	79	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250719	2025-07-19	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250720	2025-07-20	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20250721	2025-07-21	NORMAL_SESSION	QUALIFIED	180	0	0	30	0	30	0	79	0	79	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
OBSOPEN_US30_20250722	2025-07-22	NORMAL_SESSION	QUALIFIED	180	0	0	30	0	30	0	79	0	79	0	NOT_EVALUABLE_SOURCE_COVERAGE_M1	
