session_id	civil_date	partition	server_offset_minutes	confirmation_status
OBSOPEN_US30_20250708	2025-07-08	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250709	2025-07-09	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250710	2025-07-10	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250714	2025-07-14	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250715	2025-07-15	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250909	2025-09-09	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250910	2025-09-10	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250911	2025-09-11	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250915	2025-09-15	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250916	2025-09-16	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250917	2025-09-17	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250918	2025-09-18	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250923	2025-09-23	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250924	2025-09-24	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250925	2025-09-25	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250929	2025-09-29	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20250930	2025-09-30	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251001	2025-10-01	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251002	2025-10-02	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251006	2025-10-06	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251007	2025-10-07	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251008	2025-10-08	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251009	2025-10-09	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251014	2025-10-14	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251015	2025-10-15	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251016	2025-10-16	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251020	2025-10-20	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251021	2025-10-21	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251022	2025-10-22	CONFIRMATION	180	FROZEN_UNOPENED
OBSOPEN_US30_20251027	2025-10-27	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251028	2025-10-28	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251029	2025-10-29	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251030	2025-10-30	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251031	2025-10-31	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251103	2025-11-03	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251104	2025-11-04	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251105	2025-11-05	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251106	2025-11-06	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251110	2025-11-10	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251111	2025-11-11	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251112	2025-11-12	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251113	2025-11-13	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251117	2025-11-17	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251118	2025-11-18	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251119	2025-11-19	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251120	2025-11-20	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251124	2025-11-24	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251125	2025-11-25	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251126	2025-11-26	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251201	2025-12-01	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251202	2025-12-02	CONFIRMATION	120	FROZEN_UNOPENED
OBSOPEN_US30_20251203	2025-12-03	CONFIRMATION	120	FROZEN_UNOPENED
