session_id	civil_date	reason
OBSOPEN_US30_20250124	2025-01-24	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250125	2025-01-25	NON_SESSION_WEEKEND
OBSOPEN_US30_20250126	2025-01-26	NON_SESSION_WEEKEND
OBSOPEN_US30_20250131	2025-01-31	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250201	2025-02-01	NON_SESSION_WEEKEND
OBSOPEN_US30_20250202	2025-02-02	NON_SESSION_WEEKEND
OBSOPEN_US30_20250207	2025-02-07	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250208	2025-02-08	NON_SESSION_WEEKEND
OBSOPEN_US30_20250209	2025-02-09	NON_SESSION_WEEKEND
OBSOPEN_US30_20250214	2025-02-14	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250215	2025-02-15	NON_SESSION_WEEKEND
OBSOPEN_US30_20250216	2025-02-16	NON_SESSION_WEEKEND
OBSOPEN_US30_20250217	2025-02-17	EXCHANGE_CLOSED
OBSOPEN_US30_20250221	2025-02-21	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250222	2025-02-22	NON_SESSION_WEEKEND
OBSOPEN_US30_20250223	2025-02-23	NON_SESSION_WEEKEND
OBSOPEN_US30_20250228	2025-02-28	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250301	2025-03-01	NON_SESSION_WEEKEND
OBSOPEN_US30_20250302	2025-03-02	NON_SESSION_WEEKEND
OBSOPEN_US30_20250307	2025-03-07	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250308	2025-03-08	NON_SESSION_WEEKEND
OBSOPEN_US30_20250309	2025-03-09	NON_SESSION_WEEKEND
OBSOPEN_US30_20250315	2025-03-15	NON_SESSION_WEEKEND
OBSOPEN_US30_20250316	2025-03-16	NON_SESSION_WEEKEND
OBSOPEN_US30_20250322	2025-03-22	NON_SESSION_WEEKEND
OBSOPEN_US30_20250323	2025-03-23	NON_SESSION_WEEKEND
OBSOPEN_US30_20250329	2025-03-29	NON_SESSION_WEEKEND
OBSOPEN_US30_20250330	2025-03-30	NON_SESSION_WEEKEND
OBSOPEN_US30_20250404	2025-04-04	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250405	2025-04-05	NON_SESSION_WEEKEND
OBSOPEN_US30_20250406	2025-04-06	NON_SESSION_WEEKEND
OBSOPEN_US30_20250410	2025-04-10	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250411	2025-04-11	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250412	2025-04-12	NON_SESSION_WEEKEND
OBSOPEN_US30_20250413	2025-04-13	NON_SESSION_WEEKEND
OBSOPEN_US30_20250418	2025-04-18	EXCHANGE_CLOSED
OBSOPEN_US30_20250419	2025-04-19	NON_SESSION_WEEKEND
OBSOPEN_US30_20250420	2025-04-20	NON_SESSION_WEEKEND
OBSOPEN_US30_20250421	2025-04-21	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250425	2025-04-25	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250426	2025-04-26	NON_SESSION_WEEKEND
OBSOPEN_US30_20250427	2025-04-27	NON_SESSION_WEEKEND
OBSOPEN_US30_20250502	2025-05-02	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250503	2025-05-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20250504	2025-05-04	NON_SESSION_WEEKEND
OBSOPEN_US30_20250506	2025-05-06	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250509	2025-05-09	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250510	2025-05-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20250511	2025-05-11	NON_SESSION_WEEKEND
OBSOPEN_US30_20250516	2025-05-16	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250517	2025-05-17	NON_SESSION_WEEKEND
OBSOPEN_US30_20250518	2025-05-18	NON_SESSION_WEEKEND
OBSOPEN_US30_20250519	2025-05-19	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250523	2025-05-23	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250524	2025-05-24	NON_SESSION_WEEKEND
OBSOPEN_US30_20250525	2025-05-25	NON_SESSION_WEEKEND
OBSOPEN_US30_20250526	2025-05-26	EXCHANGE_CLOSED
OBSOPEN_US30_20250527	2025-05-27	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250530	2025-05-30	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250531	2025-05-31	NON_SESSION_WEEKEND
OBSOPEN_US30_20250601	2025-06-01	NON_SESSION_WEEKEND
OBSOPEN_US30_20250602	2025-06-02	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250603	2025-06-03	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250606	2025-06-06	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250607	2025-06-07	NON_SESSION_WEEKEND
OBSOPEN_US30_20250608	2025-06-08	NON_SESSION_WEEKEND
OBSOPEN_US30_20250613	2025-06-13	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250614	2025-06-14	NON_SESSION_WEEKEND
OBSOPEN_US30_20250615	2025-06-15	NON_SESSION_WEEKEND
OBSOPEN_US30_20250619	2025-06-19	EXCHANGE_CLOSED
OBSOPEN_US30_20250620	2025-06-20	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20250621	2025-06-21	NON_SESSION_WEEKEND
OBSOPEN_US30_20250622	2025-06-22	NON_SESSION_WEEKEND
OBSOPEN_US30_20250626	2025-06-26	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20250627	2025-06-27	NOT_EVALUABLE_SOURCE_COVERAGE_M5
