unit,stratifier,stratum,metric,rows,count,missing_count,missing_rate,censored_count,censoring_rate,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
attempt,resolution,ACCEPT_AND_HOLD_RETEST,node_width_atr,763,763,0,0.0,0,0.0,0.0,0.0336512504,0.10020949900000001,1.07800175,2.67295597,4.34961864,7.996102710999999,10.609569945399999,10.87432933,3.0989084455308,2.4487098843880446
attempt,resolution,ACCEPT_AND_HOLD_RETEST,node_age_seconds,763,763,0,0.0,0,0.0,660.0,1474.62,2743.6,10908.0,40287.0,117484.0,205563.8,254041.24,271204.0,67941.69724770643,69281.19627678263
attempt,resolution,ACCEPT_AND_HOLD_RETEST,start_median_sigma,763,763,0,0.0,0,0.0,-2.8447666,-2.5631590238,-1.2796360900000001,-0.41565768999999997,-0.01385088,0.23930578000000002,1.24260437,1.8270412532,1.82812572,-0.07573357307994757,0.7652198401691347
attempt,resolution,ACCEPT_AND_HOLD_RETEST,nearest_corridor_atr,763,763,0,0.0,0,0.0,0.03357958,0.0753502436,0.125388005,0.5560273899999999,1.20066572,2.64367816,4.77112483,6.225022974799999,14.83194573,1.7198967250196593,1.5815501593601944
attempt,resolution,ACCEPT_THROUGH_NODE,duration_seconds,667,667,0,0.0,0,0.0,321.0,352.28,416.0,585.5,743.0,1392.5,4131.499999999997,6353.580000000001,12063.0,1285.6941529235382,1323.2166056985495
attempt,resolution,ACCEPT_THROUGH_NODE,penetration_atr,667,667,0,0.0,0,0.0,0.27665996,0.3620368732,0.518004168,0.9587218399999999,1.55174938,2.6513035599999997,6.4728399429999985,11.391450615800007,16.80983412,2.2601341344227883,2.1705196441244254
attempt,resolution,ACCEPT_THROUGH_NODE,inside_seconds,667,667,0,0.0,0,0.0,0.0,0.0,1.0,9.0,38.0,181.5,2381.3999999999896,5603.42000000001,11645.0,397.56821589205396,1061.6646340839136
attempt,resolution,ACCEPT_THROUGH_NODE,approach_efficiency,667,667,0,0.0,0,0.0,0.00061312,0.002396979,0.00918943,0.05315542,0.18072289,0.47017544,1.0,1.0,1.0,0.3085160925187406,0.3209561340091418
attempt,resolution,ACCEPT_THROUGH_NODE,node_width_atr,667,667,0,0.0,0,0.0,0.0,0.0,0.009939149000000001,0.05673086,0.10055304,0.60790579,3.7276186289999997,6.788979460000011,14.99426904,0.6956474482608697,1.5766936193021592
attempt,resolution,ACCEPT_THROUGH_NODE,node_age_seconds,667,667,0,0.0,0,0.0,0.0,0.0,9.800000000000026,2130.5,11976.0,51874.5,145596.09999999998,227757.42000000004,291303.0,34800.50824587706,49497.93903202916
attempt,resolution,ACCEPT_THROUGH_NODE,start_median_sigma,667,667,0,0.0,0,0.0,-2.39367208,-1.732036011,-1.075435271,-0.374444195,-0.01105493,0.30148294,0.9831459939999996,1.6203924136000014,1.94482633,-0.039126881589205395,0.6275219450461751
attempt,resolution,ACCEPT_THROUGH_NODE,nearest_corridor_atr,667,667,0,0.0,0,0.0,0.00862366,0.1188763358,0.16649303499999998,0.52421311,1.00409718,2.0624876700000003,5.014427330999988,10.8215122338,15.93453919,1.6669562259070465,1.9537544539380782
attempt,resolution,NODE_RETIRED,duration_seconds,889,889,0,0.0,0,0.0,1.0,2.0,7.0,54.0,331.0,1786.0,5973.9999999999945,9778.76,104505.0,1492.111361079865,5133.000458082469
attempt,resolution,NODE_RETIRED,penetration_atr,889,889,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.11200819,0.20031,2.3489377899999972,5.209056227200001,9.33178418,0.3993841894488188,1.0070065298633095
