unit,dimension,value,count,total,share,censored_count,censoring_rate,entropy_bits,normalized_entropy
attempt,ordinal,37,35,7764,0.004507985574446162,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,38,34,7764,0.004379185986604843,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,39,32,7764,0.004121586810922205,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,4,444,7764,0.0571870170015456,1,0.0022522522522522522,5.084782771620528,0.7527560999338574
attempt,ordinal,40,32,7764,0.004121586810922205,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,41,30,7764,0.0038639876352395673,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,42,30,7764,0.0038639876352395673,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,43,28,7764,0.0036063884595569293,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,44,23,7764,0.002962390520350335,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,45,23,7764,0.002962390520350335,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,46,21,7764,0.002704791344667697,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,47,21,7764,0.002704791344667697,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,48,20,7764,0.002575991756826378,1,0.05,5.084782771620528,0.7527560999338574
attempt,ordinal,49,19,7764,0.0024471921689850594,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,5,385,7764,0.04958784131890778,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,50,18,7764,0.00231839258114374,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,51,16,7764,0.0020607934054611026,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,52,16,7764,0.0020607934054611026,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,53,16,7764,0.0020607934054611026,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,54,16,7764,0.0020607934054611026,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,55,15,7764,0.0019319938176197836,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,56,13,7764,0.0016743946419371459,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,57,13,7764,0.0016743946419371459,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,58,12,7764,0.0015455950540958269,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,59,12,7764,0.0015455950540958269,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,6,338,7764,0.04353426069036579,2,0.005917159763313609,5.084782771620528,0.7527560999338574
attempt,ordinal,60,12,7764,0.0015455950540958269,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,61,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,62,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,63,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,64,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,65,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,66,11,7764,0.001416795466254508,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,67,10,7764,0.001287995878413189,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,68,9,7764,0.00115919629057187,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,69,8,7764,0.0010303967027305513,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,7,303,7764,0.03902627511591963,1,0.0033003300330033004,5.084782771620528,0.7527560999338574
attempt,ordinal,70,8,7764,0.0010303967027305513,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,71,8,7764,0.0010303967027305513,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,72,8,7764,0.0010303967027305513,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,73,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,74,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,75,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,76,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,77,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,78,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,79,7,7764,0.0009015971148892323,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,8,273,7764,0.03516228748068006,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,80,6,7764,0.0007727975270479134,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,81,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,82,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,83,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,84,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,85,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,86,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,87,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,88,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,89,5,7764,0.0006439979392065945,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,9,248,7764,0.03194229778464709,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,90,5,7764,0.0006439979392065945,1,0.2,5.084782771620528,0.7527560999338574
attempt,ordinal,91,3,7764,0.0003863987635239567,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,92,3,7764,0.0003863987635239567,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,93,3,7764,0.0003863987635239567,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,94,3,7764,0.0003863987635239567,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,95,3,7764,0.0003863987635239567,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,96,2,7764,0.00025759917568263783,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,97,2,7764,0.00025759917568263783,1,0.5,5.084782771620528,0.7527560999338574
attempt,ordinal,98,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,ordinal,99,1,7764,0.00012879958784131891,0,0.0,5.084782771620528,0.7527560999338574
attempt,family_count,1,614,7764,0.07908294693456981,1,0.0016286644951140066,2.433506159718876,0.866832383963506
attempt,family_count,2,2660,7764,0.3426069036579083,7,0.002631578947368421,2.433506159718876,0.866832383963506
attempt,family_count,3,1024,7764,0.13189077794951057,4,0.00390625,2.433506159718876,0.866832383963506
attempt,family_count,4,1672,7764,0.21535291087068523,6,0.0035885167464114833,2.433506159718876,0.866832383963506
attempt,family_count,5,1230,7764,0.15842349304482226,0,0.0,2.433506159718876,0.866832383963506
attempt,family_count,6,436,7764,0.056156620298815046,2,0.0045871559633027525,2.433506159718876,0.866832383963506
attempt,family_count,7,128,7764,0.01648634724368882,0,0.0,2.433506159718876,0.866832383963506
attempt,producer_combo,DAY_SWINGS,89,7764,0.011463163317877383,0,0.0,2.273532343779955,0.8098485609769667
attempt,producer_combo,DAY_SWINGS+VOLKITT,341,7764,0.043920659453889746,0,0.0,2.273532343779955,0.8098485609769667
attempt,producer_combo,DAY_SWINGS+VOLKITT+WAYNE,1395,7764,0.17967542503863987,0,0.0,2.273532343779955,0.8098485609769667
attempt,producer_combo,DAY_SWINGS+WAYNE,1090,7764,0.1403915507470376,1,0.0009174311926605505,2.273532343779955,0.8098485609769667
attempt,producer_combo,VOLKITT,563,7764,0.07251416795466255,1,0.0017761989342806395,2.273532343779955,0.8098485609769667
attempt,producer_combo,VOLKITT+WAYNE,3378,7764,0.43508500772797526,14,0.0041444641799881585,2.273532343779955,0.8098485609769667
attempt,producer_combo,WAYNE,908,7764,0.11695002575991757,4,0.004405286343612335,2.273532343779955,0.8098485609769667
attempt,server_time_bucket,00-03,1278,7764,0.16460587326120557,0,0.0,2.53951609505422,0.982418930389026
attempt,server_time_bucket,04-07,925,7764,0.11913961875321999,0,0.0,2.53951609505422,0.982418930389026
attempt,server_time_bucket,08-11,1355,7764,0.1745234415249871,0,0.0,2.53951609505422,0.982418930389026
attempt,server_time_bucket,12-15,1177,7764,0.15159711488923236,0,0.0,2.53951609505422,0.982418930389026
attempt,server_time_bucket,16-19,1977,7764,0.2546367851622875,0,0.0,2.53951609505422,0.982418930389026
attempt,server_time_bucket,20-23,1052,7764,0.1354971664090675,20,0.019011406844106463,2.53951609505422,0.982418930389026
attempt,node_age_bucket,"(12h,24h]",1170,7764,0.15069551777434312,5,0.004273504273504274,2.3493611744513925,0.9088569655443608
attempt,node_age_bucket,"(1d,3d]",1256,7764,0.16177228232869656,2,0.0015923566878980893,2.3493611744513925,0.9088569655443608
attempt,node_age_bucket,"(1h,4h]",1578,7764,0.20324574961360123,3,0.0019011406844106464,2.3493611744513925,0.9088569655443608
