unit,cross,dimension_1,value_1,dimension_2,value_2,count,censored_count,total,share,censoring_rate
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,RECLAIM_AFTER_BREAK,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,TIMEOUT,29,0,1462,0.019835841313269494,0.0
episode,selection_class x resolution,selection_class,LOW_VOLATILITY,resolution,TRANSIT_TO_NEXT_NODE,7,0,1462,0.0047879616963064295,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,ACCEPT_AND_FAIL_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,ACCEPT_AND_HOLD_RETEST,5,0,1462,0.003419972640218878,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,NODE_RETIRED,113,1,1462,0.07729138166894665,0.008849557522123894
episode,selection_class x resolution,selection_class,ORDINARY,resolution,RECLAIM_AFTER_BREAK,6,0,1462,0.004103967168262654,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,REJECT_TO_ORIGIN,4,2,1462,0.0027359781121751026,0.5
episode,selection_class x resolution,selection_class,ORDINARY,resolution,RETURN_TO_SOURCE_NODE,5,0,1462,0.003419972640218878,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,TIMEOUT,55,0,1462,0.03761969904240766,0.0
episode,selection_class x resolution,selection_class,ORDINARY,resolution,TRANSIT_TO_NEXT_NODE,9,0,1462,0.006155950752393981,0.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,ACCEPT_AND_FAIL_RETEST,3,2,1462,0.002051983584131327,0.6666666666666666
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,NODE_RETIRED,161,0,1462,0.11012311901504789,0.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,RECLAIM_AFTER_BREAK,18,0,1462,0.012311901504787962,0.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,TIMEOUT,93,1,1462,0.06361149110807114,0.010752688172043012
episode,selection_class x resolution,selection_class,PROLONGED_BALANCE,resolution,TRANSIT_TO_NEXT_NODE,16,2,1462,0.01094391244870041,0.125
episode,selection_class x resolution,selection_class,QUIET,resolution,ACCEPT_AND_FAIL_RETEST,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,QUIET,resolution,NODE_RETIRED,86,1,1462,0.058823529411764705,0.011627906976744186
episode,selection_class x resolution,selection_class,QUIET,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,selection_class x resolution,selection_class,QUIET,resolution,RECLAIM_AFTER_BREAK,4,0,1462,0.0027359781121751026,0.0
episode,selection_class x resolution,selection_class,QUIET,resolution,RETURN_TO_SOURCE_NODE,3,0,1462,0.002051983584131327,0.0
episode,selection_class x resolution,selection_class,QUIET,resolution,TIMEOUT,51,1,1462,0.03488372093023256,0.0196078431372549
episode,selection_class x resolution,selection_class,QUIET,resolution,TRANSIT_TO_NEXT_NODE,13,1,1462,0.008891928864569083,0.07692307692307693
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,NODE_RETIRED,35,0,1462,0.023939808481532147,0.0
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,RECLAIM_AFTER_BREAK,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,REJECT_TO_ORIGIN,1,0,1462,0.0006839945280437756,0.0
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,TIMEOUT,20,2,1462,0.013679890560875513,0.1
episode,selection_class x resolution,selection_class,SHARP_REVERSAL,resolution,TRANSIT_TO_NEXT_NODE,7,0,1462,0.0047879616963064295,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,ACCEPT_AND_FAIL_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,ACCEPT_AND_HOLD_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,NODE_RETIRED,128,1,1462,0.08755129958960328,0.0078125
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,RECLAIM_AFTER_BREAK,6,0,1462,0.004103967168262654,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,RETURN_TO_SOURCE_NODE,4,0,1462,0.0027359781121751026,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,TIMEOUT,61,0,1462,0.041723666210670314,0.0
episode,sigma_band x resolution,sigma_band,"(-1,-0.5]",resolution,TRANSIT_TO_NEXT_NODE,10,1,1462,0.006839945280437756,0.1
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,NODE_RETIRED,62,1,1462,0.04240766073871409,0.016129032258064516
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,RECLAIM_AFTER_BREAK,3,0,1462,0.002051983584131327,0.0
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,RETURN_TO_SOURCE_NODE,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,TIMEOUT,38,2,1462,0.025991792065663474,0.05263157894736842
episode,sigma_band x resolution,sigma_band,"(-2,-1]",resolution,TRANSIT_TO_NEXT_NODE,6,0,1462,0.004103967168262654,0.0
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,NODE_RETIRED,106,0,1462,0.07250341997264022,0.0
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,RECLAIM_AFTER_BREAK,5,0,1462,0.003419972640218878,0.0
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,REJECT_TO_ORIGIN,3,3,1462,0.002051983584131327,1.0
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,TIMEOUT,50,1,1462,0.03419972640218878,0.02
episode,sigma_band x resolution,sigma_band,"(0.5,1]",resolution,TRANSIT_TO_NEXT_NODE,11,0,1462,0.007523939808481532,0.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,NODE_RETIRED,59,0,1462,0.04035567715458276,0.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,RECLAIM_AFTER_BREAK,1,0,1462,0.0006839945280437756,0.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,sigma_band x resolution,sigma_band,"(1,2]",resolution,TIMEOUT,25,1,1462,0.01709986320109439,0.04
